"productid","startdate","enddate","standardcost","modifieddate"
716,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,31.7244,2012-05-29 00:00:00.000
716,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,29.0807,2013-05-29 00:00:00.000
716,2013-05-30 00:00:00.000,,38.4923,2013-05-16 00:00:00.000
717,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,747.9682,2012-05-29 00:00:00.000
717,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,722.2568,2013-05-29 00:00:00.000
717,2013-05-30 00:00:00.000,,868.6342,2013-05-16 00:00:00.000
718,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,747.9682,2012-05-29 00:00:00.000
718,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,722.2568,2013-05-29 00:00:00.000
718,2013-05-30 00:00:00.000,,868.6342,2013-05-16 00:00:00.000
719,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,747.9682,2012-05-29 00:00:00.000
719,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,722.2568,2013-05-29 00:00:00.000
719,2013-05-30 00:00:00.000,,868.6342,2013-05-16 00:00:00.000
720,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,747.9682,2012-05-29 00:00:00.000
720,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,722.2568,2013-05-29 00:00:00.000
720,2013-05-30 00:00:00.000,,868.6342,2013-05-16 00:00:00.000
721,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,747.9682,2012-05-29 00:00:00.000
721,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,722.2568,2013-05-29 00:00:00.000
721,2013-05-30 00:00:00.000,,868.6342,2013-05-16 00:00:00.000
722,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,176.1997,2012-05-29 00:00:00.000
722,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,170.1428,2013-05-29 00:00:00.000
722,2013-05-30 00:00:00.000,,204.6251,2013-05-16 00:00:00.000
723,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,176.1997,2012-05-29 00:00:00.000
723,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,170.1428,2013-05-29 00:00:00.000
723,2013-05-30 00:00:00.000,,204.6251,2013-05-16 00:00:00.000
724,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,176.1997,2012-05-29 00:00:00.000
724,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,170.1428,2013-05-29 00:00:00.000
724,2013-05-30 00:00:00.000,,204.6251,2013-05-16 00:00:00.000
725,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,181.4857,2012-05-29 00:00:00.000
725,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,187.1571,2013-05-29 00:00:00.000
726,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,181.4857,2012-05-29 00:00:00.000
726,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,187.1571,2013-05-29 00:00:00.000
727,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,181.4857,2012-05-29 00:00:00.000
727,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,187.1571,2013-05-29 00:00:00.000
728,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,181.4857,2012-05-29 00:00:00.000
728,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,187.1571,2013-05-29 00:00:00.000
729,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,181.4857,2012-05-29 00:00:00.000
729,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,187.1571,2013-05-29 00:00:00.000
730,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,181.4857,2012-05-29 00:00:00.000
730,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,187.1571,2013-05-29 00:00:00.000
731,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,352.1394,2012-05-29 00:00:00.000
732,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,352.1394,2012-05-29 00:00:00.000
733,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,352.1394,2012-05-29 00:00:00.000
734,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,352.1394,2012-05-29 00:00:00.000
735,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,352.1394,2012-05-29 00:00:00.000
736,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,176.1997,2012-05-29 00:00:00.000
736,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,170.1428,2013-05-29 00:00:00.000
736,2013-05-30 00:00:00.000,,204.6251,2013-05-16 00:00:00.000
737,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,176.1997,2012-05-29 00:00:00.000
737,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,170.1428,2013-05-29 00:00:00.000
737,2013-05-30 00:00:00.000,,204.6251,2013-05-16 00:00:00.000
738,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,176.1997,2012-05-29 00:00:00.000
738,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,170.1428,2013-05-29 00:00:00.000
738,2013-05-30 00:00:00.000,,204.6251,2013-05-16 00:00:00.000
739,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,623.8403,2012-05-29 00:00:00.000
739,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,660.9142,2013-05-29 00:00:00.000
739,2013-05-30 00:00:00.000,,747.2002,2013-05-16 00:00:00.000
740,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,706.811,2012-05-29 00:00:00.000
741,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,706.811,2012-05-29 00:00:00.000
742,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,623.8403,2012-05-29 00:00:00.000
742,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,660.9142,2013-05-29 00:00:00.000
742,2013-05-30 00:00:00.000,,747.2002,2013-05-16 00:00:00.000
743,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,617.0281,2012-05-29 00:00:00.000
743,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,653.6971,2013-05-29 00:00:00.000
743,2013-05-30 00:00:00.000,,739.041,2013-05-16 00:00:00.000
744,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,699.0928,2012-05-29 00:00:00.000
745,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,699.0928,2012-05-29 00:00:00.000
746,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,617.0281,2012-05-29 00:00:00.000
746,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,653.6971,2013-05-29 00:00:00.000
746,2013-05-30 00:00:00.000,,739.041,2013-05-16 00:00:00.000
747,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,617.0281,2012-05-29 00:00:00.000
747,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,653.6971,2013-05-29 00:00:00.000
747,2013-05-30 00:00:00.000,,739.041,2013-05-16 00:00:00.000
748,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,623.8403,2012-05-29 00:00:00.000
748,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,660.9142,2013-05-29 00:00:00.000
748,2013-05-30 00:00:00.000,,747.2002,2013-05-16 00:00:00.000
749,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,2171.2942,2012-05-29 00:00:00.000
750,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,2171.2942,2012-05-29 00:00:00.000
751,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,2171.2942,2012-05-29 00:00:00.000
752,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,2171.2942,2012-05-29 00:00:00.000
753,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,2171.2942,2012-05-29 00:00:00.000
754,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,884.7083,2012-05-29 00:00:00.000
755,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,884.7083,2012-05-29 00:00:00.000
756,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,884.7083,2012-05-29 00:00:00.000
757,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,884.7083,2012-05-29 00:00:00.000
758,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,884.7083,2012-05-29 00:00:00.000
759,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,413.1463,2012-05-29 00:00:00.000
759,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,486.7066,2013-05-29 00:00:00.000
760,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,413.1463,2012-05-29 00:00:00.000
760,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,486.7066,2013-05-29 00:00:00.000
761,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,413.1463,2012-05-29 00:00:00.000
761,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,486.7066,2013-05-29 00:00:00.000
762,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,413.1463,2012-05-29 00:00:00.000
762,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,486.7066,2013-05-29 00:00:00.000
763,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,413.1463,2012-05-29 00:00:00.000
763,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,486.7066,2013-05-29 00:00:00.000
764,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,413.1463,2012-05-29 00:00:00.000
764,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,486.7066,2013-05-29 00:00:00.000
765,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,413.1463,2012-05-29 00:00:00.000
765,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,486.7066,2013-05-29 00:00:00.000
766,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,413.1463,2012-05-29 00:00:00.000
766,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,486.7066,2013-05-29 00:00:00.000
767,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,413.1463,2012-05-29 00:00:00.000
767,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,486.7066,2013-05-29 00:00:00.000
768,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,413.1463,2012-05-29 00:00:00.000
768,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,486.7066,2013-05-29 00:00:00.000
769,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,413.1463,2012-05-29 00:00:00.000
769,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,486.7066,2013-05-29 00:00:00.000
770,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,413.1463,2012-05-29 00:00:00.000
770,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,486.7066,2013-05-29 00:00:00.000
771,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,1912.1544,2012-05-29 00:00:00.000
772,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,1912.1544,2012-05-29 00:00:00.000
773,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,1912.1544,2012-05-29 00:00:00.000
774,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,1912.1544,2012-05-29 00:00:00.000
775,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,1898.0944,2012-05-29 00:00:00.000
776,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,1898.0944,2012-05-29 00:00:00.000
777,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,1898.0944,2012-05-29 00:00:00.000
778,2011-05-31 00:00:00.000,2012-05-29 00:00:00.000,1898.0944,2012-05-29 00:00:00.000
779,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,1117.8559,2013-05-29 00:00:00.000
779,2013-05-30 00:00:00.000,,1265.6195,2013-05-16 00:00:00.000
780,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,1117.8559,2013-05-29 00:00:00.000
780,2013-05-30 00:00:00.000,,1265.6195,2013-05-16 00:00:00.000
781,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,1117.8559,2013-05-29 00:00:00.000
781,2013-05-30 00:00:00.000,,1265.6195,2013-05-16 00:00:00.000
782,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,1105.81,2013-05-29 00:00:00.000
782,2013-05-30 00:00:00.000,,1251.9813,2013-05-16 00:00:00.000
783,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,1105.81,2013-05-29 00:00:00.000
783,2013-05-30 00:00:00.000,,1251.9813,2013-05-16 00:00:00.000
784,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,1105.81,2013-05-29 00:00:00.000
784,2013-05-30 00:00:00.000,,1251.9813,2013-05-16 00:00:00.000
785,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,598.4354,2013-05-29 00:00:00.000
786,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,598.4354,2013-05-29 00:00:00.000
787,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,598.4354,2013-05-29 00:00:00.000
788,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,598.4354,2013-05-29 00:00:00.000
789,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,1518.7864,2013-05-29 00:00:00.000
790,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,1518.7864,2013-05-29 00:00:00.000
791,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,1518.7864,2013-05-29 00:00:00.000
792,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,1320.6838,2013-05-29 00:00:00.000
792,2013-05-30 00:00:00.000,,1554.9479,2013-05-16 00:00:00.000
793,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,1320.6838,2013-05-29 00:00:00.000
793,2013-05-30 00:00:00.000,,1554.9479,2013-05-16 00:00:00.000
794,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,1320.6838,2013-05-29 00:00:00.000
794,2013-05-30 00:00:00.000,,1554.9479,2013-05-16 00:00:00.000
795,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,1320.6838,2013-05-29 00:00:00.000
795,2013-05-30 00:00:00.000,,1554.9479,2013-05-16 00:00:00.000
796,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,1320.6838,2013-05-29 00:00:00.000
796,2013-05-30 00:00:00.000,,1554.9479,2013-05-16 00:00:00.000
797,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,605.6492,2013-05-29 00:00:00.000
797,2013-05-30 00:00:00.000,,713.0798,2013-05-16 00:00:00.000
798,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,605.6492,2013-05-29 00:00:00.000
798,2013-05-30 00:00:00.000,,713.0798,2013-05-16 00:00:00.000
799,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,605.6492,2013-05-29 00:00:00.000
799,2013-05-30 00:00:00.000,,713.0798,2013-05-16 00:00:00.000
800,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,605.6492,2013-05-29 00:00:00.000
800,2013-05-30 00:00:00.000,,713.0798,2013-05-16 00:00:00.000
801,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,605.6492,2013-05-29 00:00:00.000
801,2013-05-30 00:00:00.000,,713.0798,2013-05-16 00:00:00.000
802,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,65.8097,2013-05-29 00:00:00.000
803,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,77.9176,2013-05-29 00:00:00.000
804,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,101.8936,2013-05-29 00:00:00.000
805,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,15.1848,2013-05-29 00:00:00.000
806,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,45.4168,2013-05-29 00:00:00.000
807,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,55.3801,2013-05-29 00:00:00.000
808,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,17.978,2013-05-29 00:00:00.000
808,2013-05-30 00:00:00.000,,19.7758,2013-05-16 00:00:00.000
809,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,24.9932,2013-05-29 00:00:00.000
809,2013-05-30 00:00:00.000,,27.4925,2013-05-16 00:00:00.000
810,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,48.5453,2013-05-29 00:00:00.000
810,2013-05-30 00:00:00.000,,53.3999,2013-05-16 00:00:00.000
811,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,17.978,2013-05-29 00:00:00.000
811,2013-05-30 00:00:00.000,,19.7758,2013-05-16 00:00:00.000
812,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,24.9932,2013-05-29 00:00:00.000
812,2013-05-30 00:00:00.000,,27.4925,2013-05-16 00:00:00.000
813,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,48.5453,2013-05-29 00:00:00.000
813,2013-05-30 00:00:00.000,,53.3999,2013-05-16 00:00:00.000
814,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,185.8193,2013-05-29 00:00:00.000
815,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,26.9708,2013-05-29 00:00:00.000
816,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,92.8071,2013-05-29 00:00:00.000
817,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,133.2955,2013-05-29 00:00:00.000
818,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,37.9909,2013-05-29 00:00:00.000
819,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,110.2829,2013-05-29 00:00:00.000
820,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,146.5466,2013-05-29 00:00:00.000
821,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,96.7964,2013-05-29 00:00:00.000
822,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,300.1188,2013-05-29 00:00:00.000
822,2013-05-30 00:00:00.000,,360.9428,2013-05-16 00:00:00.000
823,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,38.9588,2013-05-29 00:00:00.000
824,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,104.7951,2013-05-29 00:00:00.000
825,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,145.2835,2013-05-29 00:00:00.000
826,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,49.9789,2013-05-29 00:00:00.000
827,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,122.2709,2013-05-29 00:00:00.000
828,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,158.5346,2013-05-29 00:00:00.000
829,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,108.7844,2013-05-29 00:00:00.000
830,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,185.8193,2013-05-29 00:00:00.000
831,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,185.8193,2013-05-29 00:00:00.000
832,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,185.8193,2013-05-29 00:00:00.000
833,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,300.1188,2013-05-29 00:00:00.000
833,2013-05-30 00:00:00.000,,360.9428,2013-05-16 00:00:00.000
834,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,300.1188,2013-05-29 00:00:00.000
834,2013-05-30 00:00:00.000,,360.9428,2013-05-16 00:00:00.000
835,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,300.1188,2013-05-29 00:00:00.000
835,2013-05-30 00:00:00.000,,360.9428,2013-05-16 00:00:00.000
836,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,300.1188,2013-05-29 00:00:00.000
836,2013-05-30 00:00:00.000,,360.9428,2013-05-16 00:00:00.000
837,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,722.2568,2013-05-29 00:00:00.000
837,2013-05-30 00:00:00.000,,868.6342,2013-05-16 00:00:00.000
838,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,722.2568,2013-05-29 00:00:00.000
838,2013-05-30 00:00:00.000,,868.6342,2013-05-16 00:00:00.000
839,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,722.2568,2013-05-29 00:00:00.000
839,2013-05-30 00:00:00.000,,868.6342,2013-05-16 00:00:00.000
840,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,722.2568,2013-05-29 00:00:00.000
840,2013-05-30 00:00:00.000,,868.6342,2013-05-16 00:00:00.000
841,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,24.7459,2013-05-29 00:00:00.000
842,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,51.5625,2013-05-29 00:00:00.000
843,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,10.3125,2013-05-29 00:00:00.000
844,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,8.2459,2013-05-29 00:00:00.000
845,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,10.3084,2013-05-29 00:00:00.000
846,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,5.7709,2013-05-29 00:00:00.000
847,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,14.4334,2013-05-29 00:00:00.000
848,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,18.5584,2013-05-29 00:00:00.000
849,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,24.7459,2013-05-29 00:00:00.000
850,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,24.7459,2013-05-29 00:00:00.000
851,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,24.7459,2013-05-29 00:00:00.000
852,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,30.9334,2013-05-29 00:00:00.000
853,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,30.9334,2013-05-29 00:00:00.000
854,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,30.9334,2013-05-29 00:00:00.000
855,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,37.1209,2013-05-29 00:00:00.000
856,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,37.1209,2013-05-29 00:00:00.000
857,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,37.1209,2013-05-29 00:00:00.000
858,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,9.7136,2013-05-29 00:00:00.000
858,2013-05-30 00:00:00.000,,9.1593,2013-05-16 00:00:00.000
859,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,9.7136,2013-05-29 00:00:00.000
859,2013-05-30 00:00:00.000,,9.1593,2013-05-16 00:00:00.000
860,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,9.7136,2013-05-29 00:00:00.000
860,2013-05-30 00:00:00.000,,9.1593,2013-05-16 00:00:00.000
861,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,15.6709,2013-05-29 00:00:00.000
862,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,15.6709,2013-05-29 00:00:00.000
863,2012-05-30 00:00:00.000,2013-05-29 00:00:00.000,15.6709,2013-05-29 00:00:00.000
864,2013-05-30 00:00:00.000,,23.749,2013-05-16 00:00:00.000
865,2013-05-30 00:00:00.000,,23.749,2013-05-16 00:00:00.000
866,2013-05-30 00:00:00.000,,23.749,2013-05-16 00:00:00.000
867,2013-05-30 00:00:00.000,,26.1763,2013-05-16 00:00:00.000
868,2013-05-30 00:00:00.000,,26.1763,2013-05-16 00:00:00.000
869,2013-05-30 00:00:00.000,,26.1763,2013-05-16 00:00:00.000
870,2013-05-30 00:00:00.000,,1.8663,2013-05-16 00:00:00.000
871,2013-05-30 00:00:00.000,,3.7363,2013-05-16 00:00:00.000
872,2013-05-30 00:00:00.000,,3.3623,2013-05-16 00:00:00.000
873,2013-05-30 00:00:00.000,,0.8565,2013-05-16 00:00:00.000
874,2013-05-30 00:00:00.000,,3.3623,2013-05-16 00:00:00.000
875,2013-05-30 00:00:00.000,,3.3623,2013-05-16 00:00:00.000
876,2013-05-30 00:00:00.000,,44.88,2013-05-16 00:00:00.000
877,2013-05-30 00:00:00.000,,2.9733,2013-05-16 00:00:00.000
878,2013-05-30 00:00:00.000,,8.2205,2013-05-16 00:00:00.000
879,2013-05-30 00:00:00.000,,59.466,2013-05-16 00:00:00.000
880,2013-05-30 00:00:00.000,,20.5663,2013-05-16 00:00:00.000
881,2013-05-30 00:00:00.000,,41.5723,2013-05-16 00:00:00.000
882,2013-05-30 00:00:00.000,,41.5723,2013-05-16 00:00:00.000
883,2013-05-30 00:00:00.000,,41.5723,2013-05-16 00:00:00.000
884,2013-05-30 00:00:00.000,,41.5723,2013-05-16 00:00:00.000
885,2013-05-30 00:00:00.000,,601.7437,2013-05-16 00:00:00.000
886,2013-05-30 00:00:00.000,,199.8519,2013-05-16 00:00:00.000
887,2013-05-30 00:00:00.000,,601.7437,2013-05-16 00:00:00.000
888,2013-05-30 00:00:00.000,,601.7437,2013-05-16 00:00:00.000
889,2013-05-30 00:00:00.000,,601.7437,2013-05-16 00:00:00.000
890,2013-05-30 00:00:00.000,,601.7437,2013-05-16 00:00:00.000
891,2013-05-30 00:00:00.000,,601.7437,2013-05-16 00:00:00.000
892,2013-05-30 00:00:00.000,,601.7437,2013-05-16 00:00:00.000
893,2013-05-30 00:00:00.000,,601.7437,2013-05-16 00:00:00.000
894,2013-05-30 00:00:00.000,,53.9282,2013-05-16 00:00:00.000
895,2013-05-30 00:00:00.000,,199.8519,2013-05-16 00:00:00.000
896,2013-05-30 00:00:00.000,,199.8519,2013-05-16 00:00:00.000
