"customerid","personid","storeid","territoryid","rowguid","modifieddate"
178,,810,10,"05b8fb77-fc67-4279-aebd-4162d21b9a11",2014-09-12 11:15:07.263
179,,444,2,f7f8b200-1294-4419-9dac-8194231ac9b7,2014-09-12 11:15:07.263
180,,686,3,f7cff29e-f164-424e-b005-bf8cf317af27,2014-09-12 11:15:07.263
181,,1292,1,"3d3d4cd0-7f5d-4bd9-a589-08881095bc5a",2014-09-12 11:15:07.263
182,,442,1,d3da2ff4-51c0-4fcb-a936-1b910458d752,2014-09-12 11:15:07.263
183,,684,3,b2051957-b411-44e1-bca5-63fecb5368f2,2014-09-12 11:15:07.263
184,,1294,4,a65c523a-498d-4314-a727-d17a8b2779f6,2014-09-12 11:15:07.263
185,,1196,4,"5014e91d-7b0e-495a-b429-ff915be9d2fd",2014-09-12 11:15:07.263
186,,682,4,"48d3e26e-c051-4b24-a37f-a88f5294f25f",2014-09-12 11:15:07.263
187,,1296,4,"3329ce97-bb9f-4c36-9197-a6eee803bd94",2014-09-12 11:15:07.263
188,,1194,5,"2af36044-25f9-476c-961d-a8efd29e2c4f",2014-09-12 11:15:07.263
189,,680,5,"3ed50d2b-a57b-4238-bb31-2f96996db362",2014-09-12 11:15:07.263
190,,1298,6,"91154406-0118-4a11-bb1b-366edfb5c97a",2014-09-12 11:15:07.263
191,,1192,6,a2f63e12-1c66-41c2-aac0-57d87f1861d9,2014-09-12 11:15:07.263
192,,678,6,"84401968-8977-4380-9b4e-d5149c8126c0",2014-09-12 11:15:07.263
193,,1300,7,"74cb0417-1626-4586-a8c8-6f0331b08c50",2014-09-12 11:15:07.263
194,,1190,8,"3941081b-24ed-44f1-8009-cd17693423a0",2014-09-12 11:15:07.263
195,,676,9,cd4cc2c3-9fb4-4dab-95cc-a054b1171786,2014-09-12 11:15:07.263
196,,1302,10,"5f0eb2d3-4691-4f71-8e9b-a3eacfa4a1d5",2014-09-12 11:15:07.263
197,,1188,3,"47b64828-bc4c-4940-aa23-92006bf0d7f1",2014-09-12 11:15:07.263
198,,452,3,b17de285-df9a-487b-8773-75844a101cd0,2014-09-12 11:15:07.263
199,,1304,1,f0cd52d1-b838-451e-b015-5414ab7d9154,2014-09-12 11:15:07.263
200,,1186,1,"7c96c878-a038-4b2f-825f-016c922d6407",2014-09-12 11:15:07.263
201,,450,4,ff8eb66d-37d8-46fb-b6e2-30a1fac37947,2014-09-12 11:15:07.263
202,,1306,4,e50d76bb-e3f7-419f-a6d2-20061538fcea,2014-09-12 11:15:07.263
203,,1184,4,b05aaa08-abc9-41e1-b113-65347a2ee406,2014-09-12 11:15:07.263
204,,448,4,c807870f-fa5d-44cb-b373-47ecac52c1d8,2014-09-12 11:15:07.263
205,,1404,4,"9db0bd27-5ce6-4f6d-8c90-a85422b86060",2014-09-12 11:15:07.263
206,,1182,5,f0b3a736-dd1d-4412-af94-083990d01965,2014-09-12 11:15:07.263
207,,414,5,ca07b43c-6fb2-4160-b1ac-faaea2a1ccf1,2014-09-12 11:15:07.263
208,,1406,6,"6005e7a8-0101-4be2-b8c1-f4ad936e496f",2014-09-12 11:15:07.263
209,,1180,6,e5a50573-0d83-4200-a80c-9f690af69fcc,2014-09-12 11:15:07.263
210,,412,6,ff748558-ea94-4c67-a764-d1480b0f8548,2014-09-12 11:15:07.263
211,,1408,7,"98158631-9d58-4222-bcbd-cb0b90cbce17",2014-09-12 11:15:07.263
212,,1178,8,"4db27c1b-60ce-4060-b84d-2f83f7a04c4a",2014-09-12 11:15:07.263
213,,410,9,"374eaca4-b406-4d8e-b122-184efc4122fa",2014-09-12 11:15:07.263
214,,1410,10,"402e4d5f-27c3-4197-87e8-32aa42e41bb6",2014-09-12 11:15:07.263
215,,1176,2,"3c8fda7c-6e91-4779-a45e-234774092c78",2014-09-12 11:15:07.263
216,,544,2,"4f58a074-ea37-49f8-b0c1-fdc3e0a08677",2014-09-12 11:15:07.263
217,,1412,1,"5cfc3a75-ddc6-4c65-b4c3-15bf96c92983",2014-09-12 11:15:07.263
218,,1174,1,"3c098480-0d9b-409c-8156-c7610415ac5b",2014-09-12 11:15:07.263
219,,1172,3,d39ccce3-c4a6-441d-8a3c-96507627746d,2014-09-12 11:15:07.263
220,,542,3,"81305a48-9f6e-4415-b7aa-488ba04a8f7e",2014-09-12 11:15:07.263
221,,1414,4,"98ea497e-45d0-4c54-821a-4fdd9a751095",2014-09-12 11:15:07.263
222,,1170,3,"3db84b19-4063-4ec2-b1b4-317dee133a25",2014-09-12 11:15:07.263
223,,1158,3,"994837fe-10a8-47df-b7b8-86c4e6932fd0",2014-09-12 11:15:07.263
224,,1416,5,"8b943679-47d7-48f4-bbb9-1020a2f634cd",2014-09-12 11:15:07.263
225,,1168,5,ad085784-02a0-4a02-b79c-446a9f8f7ebf,2014-09-12 11:15:07.263
226,,1156,6,cf860e9b-816a-406e-a64a-7965772d5487,2014-09-12 11:15:07.263
227,,1418,6,"1ffa0236-84ee-415a-be61-94ce863715ea",2014-09-12 11:15:07.263
228,,1166,6,c751dd7e-51d9-4d2d-aeed-c818eee56ceb,2014-09-12 11:15:07.263
229,,1154,7,"25b9f9fc-40b0-463f-b6b9-b345e7b46874",2014-09-12 11:15:07.263
230,,1420,8,"6ac62ad2-ff1f-4151-b2a2-969847a7baf1",2014-09-12 11:15:07.263
231,,550,9,"0ac6fef1-c8d5-46f7-8e4c-fe522a0e4917",2014-09-12 11:15:07.263
232,,1152,10,aa451bd5-ffc2-436c-a295-81b350a5b899,2014-09-12 11:15:07.263
233,,1422,2,"4e10867d-98da-4ccc-adf2-92a3edb6e7c1",2014-09-12 11:15:07.263
234,,548,2,"60552adb-643c-461a-9dfd-57029760b59a",2014-09-12 11:15:07.263
235,,1150,1,a4df6d50-5068-4fa9-b4ca-a3195eb29bb6,2014-09-12 11:15:07.263
236,,1424,1,"21801fb2-6ea6-4fe5-9444-7e09e8ba907c",2014-09-12 11:15:07.263
237,,546,3,b8f7d9d3-e498-40c2-8c7e-fb1c98c43756,2014-09-12 11:15:07.263
238,,1148,3,"3ecd14cb-463c-4375-b81b-d6e60a48b83d",2014-09-12 11:15:07.263
239,,1426,4,"48aa4a1e-f209-4b29-a276-113ec94aa6dd",2014-09-12 11:15:07.263
240,,1956,4,c581a495-5772-4eb1-943a-9e94e2387814,2014-09-12 11:15:07.263
241,,1146,4,ff342e5e-445c-4900-aa71-f15656a7d24d,2014-09-12 11:15:07.263
242,,1428,5,"01d8cef9-298d-49a8-afc4-ffa9f5b6d1f0",2014-09-12 11:15:07.263
243,,1954,5,"62f14fdc-02da-47ec-a1af-5b95e963a14b",2014-09-12 11:15:07.263
244,,1144,6,"8ff82bed-93d5-4248-99e2-47f53055ec2d",2014-09-12 11:15:07.263
245,,1430,6,"4a122bdd-4393-42bc-ad49-37e43a0414f6",2014-09-12 11:15:07.263
246,,1952,6,cee9f2df-2be7-48b9-8e41-343adc82f8c4,2014-09-12 11:15:07.263
247,,1142,7,"0764e4db-c9d4-4c8b-964d-f7fad1c567fb",2014-09-12 11:15:07.263
248,,1432,8,cf89a228-a4d7-4c95-abdc-181f2716892e,2014-09-12 11:15:07.263
249,,1950,9,c2c4f287-0fbe-436c-8fb8-0e95125dfe61,2014-09-12 11:15:07.263
250,,1140,10,cb1ed6cb-18a1-4f7c-8079-dc400b6e506f,2014-09-12 11:15:07.263
251,,1434,2,"50fc67e2-4fea-4191-a01b-e850214b3b3e",2014-09-12 11:15:07.263
252,,1948,2,"3cea9dd6-e7d0-4892-87d1-4bba655bcc7a",2014-09-12 11:15:07.263
253,,1138,1,e09ab347-7fb1-453f-a4bd-377e68ec8c33,2014-09-12 11:15:07.263
254,,472,1,"2f89e8dd-a3c3-4ed4-a604-4b3d45dd1bea",2014-09-12 11:15:07.263
255,,1946,4,"0a21109f-02b0-4601-b4f7-2ed62c342385",2014-09-12 11:15:07.263
256,,1136,4,"0b6db35b-b8b4-4b51-9154-c33e12b38c75",2014-09-12 11:15:07.263
257,,474,4,a24f5a79-dd85-4eb2-a6a2-6e7026763ff8,2014-09-12 11:15:07.263
258,,1944,4,"5549df48-409f-4c2a-b97b-900eb598843c",2014-09-12 11:15:07.263
259,,1134,4,"2c3f7a56-819c-4e83-b791-3ce02366d3cf",2014-09-12 11:15:07.263
260,,476,5,"0446b06c-94d3-44df-96d3-0baf8124e5d4",2014-09-12 11:15:07.263
261,,1942,5,f6b51fea-d82e-440f-bc5e-508d33ba7d0f,2014-09-12 11:15:07.263
262,,1132,6,"1c783210-2b1e-46e2-a2c8-23e610feeb3c",2014-09-12 11:15:07.263
263,,580,6,f665a873-61a2-4b21-b9ff-b5903beaf759,2014-09-12 11:15:07.263
264,,1940,6,a5ce11ce-239c-4849-9683-14f37025a2c1,2014-09-12 11:15:07.263
265,,590,7,"1cd5e09a-9c62-4ad1-9c86-0e17a4512d6e",2014-09-12 11:15:07.263
266,,582,8,"4af6204a-8c86-435d-85d7-b4fa11c5ae93",2014-09-12 11:15:07.263
267,,1938,9,e4659480-ca31-4fcd-ac59-79ddc831839f,2014-09-12 11:15:07.263
268,,588,10,"0c316f6f-5d54-41fd-86a3-6ecaf31a01dd",2014-09-12 11:15:07.263
269,,584,2,c8d788bb-bdbe-48a7-b0bf-b1b0488d9b9f,2014-09-12 11:15:07.263
270,,1936,2,ef6ce6f1-71b7-4a5d-9eee-55283bd5ad5c,2014-09-12 11:15:07.263
271,,586,1,f2765e86-8dea-468b-849e-9e83ae57c381,2014-09-12 11:15:07.263
272,,612,1,b80f890d-a6a1-4dfc-b763-ecd7743c3c2a,2014-09-12 11:15:07.263
273,,1934,4,"736da014-1371-40b2-a401-5bd3267a1e8b",2014-09-12 11:15:07.263
274,,952,3,"02788a66-2628-4b91-b211-1d8f7e73c500",2014-09-12 11:15:07.263
275,,614,4,"68dc7932-128e-47cc-80cb-cf2b1a352f3c",2014-09-12 11:15:07.263
276,,1932,4,"09e2cb2a-b0ca-4376-abe7-e9240ead2c16",2014-09-12 11:15:07.263
277,,950,4,"37156292-0d92-4f6b-9014-ccb0b29e9f9a",2014-09-12 11:15:07.263
