"currencycode","name","modifieddate"
ILS,New Israeli Shekel,2008-04-30 00:00:00.000
INR,Indian Rupee,2008-04-30 00:00:00.000
ISK,Iceland Krona,2008-04-30 00:00:00.000
ITL,Italian Lira,2008-04-30 00:00:00.000
JMD,Jamaican Dollar,2008-04-30 00:00:00.000
JOD,Jordanian Dinar,2008-04-30 00:00:00.000
JPY,Yen,2008-04-30 00:00:00.000
KES,Kenyan Shilling,2008-04-30 00:00:00.000
KRW,Won,2008-04-30 00:00:00.000
KWD,Kuwaiti Dinar,2008-04-30 00:00:00.000
LBP,Lebanese Pound,2008-04-30 00:00:00.000
LKR,Sri Lankan Rupee,2008-04-30 00:00:00.000
LTL,Lithuanian Litas,2008-04-30 00:00:00.000
LVL,Latvian Lats,2008-04-30 00:00:00.000
MAD,Moroccan Dirham,2008-04-30 00:00:00.000
MTL,Maltese Lira,2008-04-30 00:00:00.000
MUR,Mauritius Rupee,2008-04-30 00:00:00.000
MVR,Rufiyaa,2008-04-30 00:00:00.000
MXN,Mexican Peso,2008-04-30 00:00:00.000
MYR,Malaysian Ringgit,2008-04-30 00:00:00.000
NAD,Namibia Dollar,2008-04-30 00:00:00.000
NGN,Naira,2008-04-30 00:00:00.000
NLG,Netherlands Guilder,2008-04-30 00:00:00.000
NOK,Norwegian Krone,2008-04-30 00:00:00.000
NPR,Nepalese Rupee,2008-04-30 00:00:00.000
NZD,New Zealand Dollar,2008-04-30 00:00:00.000
OMR,Omani Rial,2008-04-30 00:00:00.000
PAB,Balboa,2008-04-30 00:00:00.000
PEN,Nuevo Sol,2008-04-30 00:00:00.000
PHP,Philippine Peso,2008-04-30 00:00:00.000
PKR,Pakistan Rupee,2008-04-30 00:00:00.000
PLN,Zloty,2008-04-30 00:00:00.000
PLZ,Polish Zloty(old),2008-04-30 00:00:00.000
PTE,Portuguese Escudo,2008-04-30 00:00:00.000
PYG,Guarani,2008-04-30 00:00:00.000
ROL,Leu,2008-04-30 00:00:00.000
RUB,Russian Ruble,2008-04-30 00:00:00.000
RUR,Russian Ruble(old),2008-04-30 00:00:00.000
SAR,Saudi Riyal,2008-04-30 00:00:00.000
SEK,Swedish Krona,2008-04-30 00:00:00.000
SGD,Singapore Dollar,2008-04-30 00:00:00.000
SIT,Tolar,2008-04-30 00:00:00.000
SKK,Slovak Koruna,2008-04-30 00:00:00.000
SVC,El Salvador Colon,2008-04-30 00:00:00.000
THB,Baht,2008-04-30 00:00:00.000
TND,Tunisian Dinar,2008-04-30 00:00:00.000
TRL,Turkish Lira,2008-04-30 00:00:00.000
TTD,Trinidad and Tobago Dollar,2008-04-30 00:00:00.000
TWD,New Taiwan Dollar,2008-04-30 00:00:00.000
USD,US Dollar,2008-04-30 00:00:00.000
UYU,Uruguayan Peso,2008-04-30 00:00:00.000
VEB,Bolivar,2008-04-30 00:00:00.000
VND,Dong,2008-04-30 00:00:00.000
XOF,CFA Franc BCEAO,2008-04-30 00:00:00.000
ZAR,Rand,2008-04-30 00:00:00.000
ZWD,Zimbabwe Dollar,2008-04-30 00:00:00.000
