"purchaseorderid","purchaseorderdetailid","duedate","orderqty","productid","unitprice","receivedqty","rejectedqty","modifieddate"
11,24,2011-12-28 00:00:00.000,3,438,41.223,3.00,0.00,2011-12-21 00:00:00.000
11,25,2011-12-28 00:00:00.000,3,439,45.4965,3.00,0.00,2011-12-21 00:00:00.000
11,26,2011-12-28 00:00:00.000,3,440,41.223,3.00,0.00,2011-12-21 00:00:00.000
11,27,2011-12-28 00:00:00.000,3,441,39.123,3.00,0.00,2011-12-21 00:00:00.000
12,28,2011-12-28 00:00:00.000,550,941,62.9895,550.00,82.00,2011-12-21 00:00:00.000
13,29,2011-12-28 00:00:00.000,3,320,45.3705,3.00,0.00,2011-12-21 00:00:00.000
13,30,2011-12-28 00:00:00.000,3,321,40.488,3.00,0.00,2011-12-21 00:00:00.000
13,31,2011-12-28 00:00:00.000,60,322,26.3655,60.00,0.00,2011-12-21 00:00:00.000
14,32,2011-12-28 00:00:00.000,3,504,48.762,3.00,3.00,2011-12-21 00:00:00.000
15,33,2011-12-28 00:00:00.000,3,497,34.188,3.00,0.00,2011-12-21 00:00:00.000
16,34,2011-12-28 00:00:00.000,3,323,50.2635,3.00,0.00,2011-12-21 00:00:00.000
17,35,2011-12-29 00:00:00.000,550,523,10.731,550.00,0.00,2011-12-22 00:00:00.000
17,36,2011-12-29 00:00:00.000,550,524,14.1225,550.00,0.00,2011-12-22 00:00:00.000
18,37,2011-12-29 00:00:00.000,60,492,50.2635,60.00,0.00,2011-12-22 00:00:00.000
18,38,2011-12-29 00:00:00.000,60,493,57.1515,60.00,0.00,2011-12-22 00:00:00.000
18,39,2011-12-29 00:00:00.000,60,494,53.2035,60.00,0.00,2011-12-22 00:00:00.000
18,40,2011-12-29 00:00:00.000,60,495,63.693,60.00,0.00,2011-12-22 00:00:00.000
18,41,2011-12-29 00:00:00.000,60,496,48.909,60.00,0.00,2011-12-22 00:00:00.000
19,42,2011-12-29 00:00:00.000,550,908,21.0945,550.00,0.00,2011-12-22 00:00:00.000
19,43,2011-12-29 00:00:00.000,550,909,30.4395,550.00,0.00,2011-12-22 00:00:00.000
19,44,2011-12-29 00:00:00.000,550,910,40.9395,550.00,0.00,2011-12-22 00:00:00.000
19,45,2011-12-29 00:00:00.000,550,911,21.0945,550.00,0.00,2011-12-22 00:00:00.000
19,46,2011-12-29 00:00:00.000,550,912,30.4395,550.00,0.00,2011-12-22 00:00:00.000
20,47,2011-12-29 00:00:00.000,60,506,9.198,60.00,0.00,2011-12-22 00:00:00.000
21,48,2011-12-29 00:00:00.000,550,351,5.775,550.00,0.00,2011-12-22 00:00:00.000
21,49,2011-12-29 00:00:00.000,550,352,1.155,550.00,0.00,2011-12-22 00:00:00.000
21,50,2011-12-29 00:00:00.000,550,679,5.775,550.00,27.00,2011-12-22 00:00:00.000
22,51,2011-12-29 00:00:00.000,550,507,23.394,550.00,82.00,2011-12-22 00:00:00.000
22,52,2011-12-29 00:00:00.000,550,508,27.6465,550.00,0.00,2011-12-22 00:00:00.000
23,53,2011-12-29 00:00:00.000,550,355,1.365,550.00,0.00,2011-12-22 00:00:00.000
23,54,2011-12-29 00:00:00.000,550,940,62.9895,550.00,0.00,2011-12-22 00:00:00.000
23,55,2011-12-29 00:00:00.000,550,535,3.486,550.00,0.00,2011-12-22 00:00:00.000
24,56,2011-12-29 00:00:00.000,550,351,6.195,550.00,550.00,2011-12-22 00:00:00.000
24,57,2011-12-29 00:00:00.000,550,352,1.47,550.00,550.00,2011-12-22 00:00:00.000
25,58,2011-12-29 00:00:00.000,550,507,22.1655,550.00,0.00,2011-12-22 00:00:00.000
25,59,2011-12-29 00:00:00.000,550,508,29.2845,523.00,0.00,2011-12-22 00:00:00.000
26,60,2011-12-29 00:00:00.000,3,491,19.9815,3.00,0.00,2011-12-22 00:00:00.000
27,61,2011-12-29 00:00:00.000,3,341,41.1705,3.00,0.00,2011-12-22 00:00:00.000
27,62,2011-12-29 00:00:00.000,3,342,39.0705,3.00,0.00,2011-12-22 00:00:00.000
27,63,2011-12-29 00:00:00.000,3,343,43.344,3.00,0.00,2011-12-22 00:00:00.000
27,64,2011-12-29 00:00:00.000,3,344,39.0705,3.00,0.00,2011-12-22 00:00:00.000
27,65,2011-12-29 00:00:00.000,3,345,36.9705,3.00,0.00,2011-12-22 00:00:00.000
27,66,2011-12-29 00:00:00.000,3,346,41.244,3.00,0.00,2011-12-22 00:00:00.000
28,67,2011-12-29 00:00:00.000,550,935,31.4895,550.00,0.00,2011-12-22 00:00:00.000
28,68,2011-12-29 00:00:00.000,550,936,48.2895,550.00,0.00,2011-12-22 00:00:00.000
29,69,2012-01-22 00:00:00.000,3,375,43.344,3.00,0.00,2012-01-15 00:00:00.000
29,70,2012-01-22 00:00:00.000,3,376,39.0705,3.00,0.00,2012-01-15 00:00:00.000
29,71,2012-01-22 00:00:00.000,3,377,36.9705,3.00,0.00,2012-01-15 00:00:00.000
29,72,2012-01-22 00:00:00.000,3,378,41.244,3.00,0.00,2012-01-15 00:00:00.000
29,73,2012-01-22 00:00:00.000,3,379,36.9705,3.00,0.00,2012-01-15 00:00:00.000
30,74,2012-01-22 00:00:00.000,550,476,15.8865,550.00,0.00,2012-01-15 00:00:00.000
30,75,2012-01-22 00:00:00.000,550,477,11.6655,550.00,55.00,2012-01-15 00:00:00.000
30,76,2012-01-22 00:00:00.000,550,478,11.088,550.00,0.00,2012-01-15 00:00:00.000
31,77,2012-01-22 00:00:00.000,3,402,47.4705,3.00,0.00,2012-01-15 00:00:00.000
32,78,2012-01-22 00:00:00.000,550,510,23.079,550.00,82.00,2012-01-15 00:00:00.000
32,79,2012-01-22 00:00:00.000,550,511,29.274,550.00,0.00,2012-01-15 00:00:00.000
33,80,2012-01-30 00:00:00.000,3,403,45.3705,3.00,0.00,2012-01-23 00:00:00.000
33,81,2012-01-30 00:00:00.000,3,404,49.644,3.00,0.00,2012-01-23 00:00:00.000
33,82,2012-01-30 00:00:00.000,3,405,45.3705,3.00,0.00,2012-01-23 00:00:00.000
34,83,2012-01-30 00:00:00.000,550,525,2.3205,550.00,550.00,2012-01-23 00:00:00.000
35,84,2012-01-30 00:00:00.000,550,526,3.6435,550.00,0.00,2012-01-23 00:00:00.000
36,85,2012-01-30 00:00:00.000,550,908,21.0945,468.00,0.00,2012-01-23 00:00:00.000
36,86,2012-01-30 00:00:00.000,550,909,30.4395,550.00,0.00,2012-01-23 00:00:00.000
36,87,2012-01-30 00:00:00.000,550,913,40.9395,550.00,0.00,2012-01-23 00:00:00.000
37,88,2012-01-30 00:00:00.000,60,356,3.6015,60.00,0.00,2012-01-23 00:00:00.000
37,89,2012-01-30 00:00:00.000,60,357,3.9795,60.00,0.00,2012-01-23 00:00:00.000
38,90,2012-01-30 00:00:00.000,550,935,31.4895,550.00,0.00,2012-01-23 00:00:00.000
38,91,2012-01-30 00:00:00.000,550,936,48.2895,550.00,0.00,2012-01-23 00:00:00.000
39,92,2012-01-30 00:00:00.000,550,524,12.9675,550.00,0.00,2012-01-23 00:00:00.000
40,93,2012-01-30 00:00:00.000,550,911,21.0945,550.00,0.00,2012-01-23 00:00:00.000
40,94,2012-01-30 00:00:00.000,550,912,30.4395,550.00,55.00,2012-01-23 00:00:00.000
41,95,2012-01-30 00:00:00.000,550,910,40.9395,550.00,0.00,2012-01-23 00:00:00.000
42,96,2012-01-30 00:00:00.000,550,937,62.9895,550.00,82.00,2012-01-23 00:00:00.000
43,97,2012-01-30 00:00:00.000,3,463,47.523,3.00,0.00,2012-01-23 00:00:00.000
43,98,2012-01-30 00:00:00.000,3,464,45.423,3.00,0.00,2012-01-23 00:00:00.000
43,99,2012-01-30 00:00:00.000,3,465,49.6965,3.00,0.00,2012-01-23 00:00:00.000
44,100,2012-01-30 00:00:00.000,3,462,47.6805,3.00,3.00,2012-01-23 00:00:00.000
45,101,2012-01-30 00:00:00.000,550,510,23.4045,550.00,0.00,2012-01-23 00:00:00.000
45,102,2012-01-30 00:00:00.000,550,511,27.867,523.00,0.00,2012-01-23 00:00:00.000
46,103,2012-01-30 00:00:00.000,550,527,6.7515,468.00,0.00,2012-01-23 00:00:00.000
47,104,2012-01-30 00:00:00.000,550,938,31.4895,550.00,0.00,2012-01-23 00:00:00.000
47,105,2012-01-30 00:00:00.000,550,939,48.2895,550.00,0.00,2012-01-23 00:00:00.000
47,106,2012-01-30 00:00:00.000,550,509,36.2775,550.00,0.00,2012-01-23 00:00:00.000
48,107,2012-01-30 00:00:00.000,60,492,50.7465,60.00,0.00,2012-01-23 00:00:00.000
48,108,2012-01-30 00:00:00.000,60,493,58.2645,60.00,0.00,2012-01-23 00:00:00.000
48,109,2012-01-30 00:00:00.000,60,494,50.7465,60.00,0.00,2012-01-23 00:00:00.000
48,110,2012-01-30 00:00:00.000,60,495,62.9265,60.00,0.00,2012-01-23 00:00:00.000
48,111,2012-01-30 00:00:00.000,60,496,49.6545,60.00,0.00,2012-01-23 00:00:00.000
49,112,2012-02-03 00:00:00.000,550,523,10.3845,550.00,0.00,2012-01-27 00:00:00.000
50,113,2012-02-03 00:00:00.000,3,422,47.6805,3.00,0.00,2012-01-27 00:00:00.000
50,114,2012-02-03 00:00:00.000,3,423,45.5805,3.00,0.00,2012-01-27 00:00:00.000
50,115,2012-02-03 00:00:00.000,3,424,49.854,3.00,0.00,2012-01-27 00:00:00.000
51,116,2012-02-03 00:00:00.000,3,490,12.7155,3.00,0.00,2012-01-27 00:00:00.000
51,117,2012-02-03 00:00:00.000,3,491,19.9395,3.00,0.00,2012-01-27 00:00:00.000
52,118,2012-02-03 00:00:00.000,3,528,38.157,3.00,0.00,2012-01-27 00:00:00.000
53,119,2012-02-07 00:00:00.000,3,505,44.2155,3.00,0.00,2012-01-31 00:00:00.000
54,120,2012-02-07 00:00:00.000,550,938,31.4895,550.00,550.00,2012-01-31 00:00:00.000
54,121,2012-02-07 00:00:00.000,550,939,48.2895,550.00,550.00,2012-01-31 00:00:00.000
55,122,2012-02-07 00:00:00.000,60,358,6.9825,60.00,0.00,2012-01-31 00:00:00.000
56,123,2012-02-07 00:00:00.000,3,375,43.2705,3.00,0.00,2012-01-31 00:00:00.000
56,124,2012-02-07 00:00:00.000,3,376,47.544,3.00,0.00,2012-01-31 00:00:00.000
56,125,2012-02-07 00:00:00.000,3,377,43.2705,3.00,0.00,2012-01-31 00:00:00.000
56,126,2012-02-07 00:00:00.000,3,378,41.1705,3.00,0.00,2012-01-31 00:00:00.000
57,127,2012-02-07 00:00:00.000,60,356,3.381,60.00,0.00,2012-01-31 00:00:00.000
57,128,2012-02-07 00:00:00.000,60,357,4.3155,60.00,0.00,2012-01-31 00:00:00.000
58,129,2012-02-07 00:00:00.000,3,375,43.2705,3.00,0.00,2012-01-31 00:00:00.000
58,130,2012-02-07 00:00:00.000,3,376,41.1705,3.00,0.00,2012-01-31 00:00:00.000
58,131,2012-02-07 00:00:00.000,3,377,45.444,3.00,0.00,2012-01-31 00:00:00.000
58,132,2012-02-07 00:00:00.000,3,378,41.1705,3.00,0.00,2012-01-31 00:00:00.000
58,133,2012-02-07 00:00:00.000,3,379,39.0705,3.00,0.00,2012-01-31 00:00:00.000
59,134,2012-02-07 00:00:00.000,3,490,12.3585,3.00,0.00,2012-01-31 00:00:00.000
60,135,2012-02-07 00:00:00.000,550,513,39.1965,550.00,0.00,2012-01-31 00:00:00.000
61,136,2012-02-07 00:00:00.000,3,403,45.444,3.00,0.00,2012-01-31 00:00:00.000
61,137,2012-02-07 00:00:00.000,3,404,41.1705,3.00,0.00,2012-01-31 00:00:00.000
61,138,2012-02-07 00:00:00.000,3,405,39.0705,3.00,0.00,2012-01-31 00:00:00.000
61,139,2012-02-07 00:00:00.000,3,406,43.344,3.00,0.00,2012-01-31 00:00:00.000
62,140,2012-02-07 00:00:00.000,550,931,34.8705,550.00,82.00,2012-01-31 00:00:00.000
62,141,2012-02-07 00:00:00.000,550,932,39.7635,550.00,0.00,2012-01-31 00:00:00.000
63,142,2012-02-07 00:00:00.000,3,422,47.6805,3.00,0.00,2012-01-31 00:00:00.000
63,143,2012-02-07 00:00:00.000,3,423,45.5805,3.00,0.00,2012-01-31 00:00:00.000
63,144,2012-02-07 00:00:00.000,3,424,49.854,3.00,0.00,2012-01-31 00:00:00.000
64,145,2012-02-07 00:00:00.000,3,341,47.5755,3.00,3.00,2012-01-31 00:00:00.000
64,146,2012-02-07 00:00:00.000,3,342,45.4755,3.00,3.00,2012-01-31 00:00:00.000
65,147,2012-02-07 00:00:00.000,550,931,34.3455,550.00,0.00,2012-01-31 00:00:00.000
65,148,2012-02-07 00:00:00.000,550,932,39.2385,523.00,0.00,2012-01-31 00:00:00.000
66,149,2012-02-07 00:00:00.000,3,341,47.4705,3.00,0.00,2012-01-31 00:00:00.000
66,150,2012-02-07 00:00:00.000,3,342,45.3705,3.00,0.00,2012-01-31 00:00:00.000
66,151,2012-02-07 00:00:00.000,3,343,49.644,3.00,0.00,2012-01-31 00:00:00.000
66,152,2012-02-07 00:00:00.000,3,344,45.3705,3.00,0.00,2012-01-31 00:00:00.000
67,153,2012-02-07 00:00:00.000,550,928,32.7705,550.00,0.00,2012-01-31 00:00:00.000
67,154,2012-02-07 00:00:00.000,550,929,37.086,550.00,0.00,2012-01-31 00:00:00.000
67,155,2012-02-07 00:00:00.000,550,930,43.0395,550.00,0.00,2012-01-31 00:00:00.000
68,156,2012-02-07 00:00:00.000,550,332,10.815,550.00,0.00,2012-01-31 00:00:00.000
69,157,2012-02-08 00:00:00.000,550,948,82.8345,550.00,0.00,2012-02-01 00:00:00.000
69,158,2012-02-08 00:00:00.000,550,907,82.8345,550.00,0.00,2012-02-01 00:00:00.000
70,159,2012-02-08 00:00:00.000,1250,325,0.21,1250.00,0.00,2012-02-01 00:00:00.000
70,160,2012-02-08 00:00:00.000,1250,326,0.21,1250.00,125.00,2012-02-01 00:00:00.000
71,161,2012-02-08 00:00:00.000,3,320,49.644,3.00,0.00,2012-02-01 00:00:00.000
71,162,2012-02-08 00:00:00.000,3,321,44.3205,3.00,0.00,2012-02-01 00:00:00.000
71,163,2012-02-08 00:00:00.000,60,322,28.6965,60.00,3.00,2012-02-01 00:00:00.000
72,164,2012-02-08 00:00:00.000,550,930,42.5145,550.00,82.00,2012-02-01 00:00:00.000
72,165,2012-02-08 00:00:00.000,550,921,5.586,550.00,0.00,2012-02-01 00:00:00.000
73,166,2012-02-23 00:00:00.000,60,952,15.7395,60.00,0.00,2012-02-16 00:00:00.000
74,167,2012-02-23 00:00:00.000,550,933,43.4595,550.00,550.00,2012-02-16 00:00:00.000
74,168,2012-02-23 00:00:00.000,550,934,37.6215,550.00,550.00,2012-02-16 00:00:00.000
75,169,2012-02-23 00:00:00.000,550,317,29.5785,550.00,0.00,2012-02-16 00:00:00.000
75,170,2012-02-23 00:00:00.000,550,318,36.099,523.00,0.00,2012-02-16 00:00:00.000
75,171,2012-02-23 00:00:00.000,550,319,48.5835,550.00,0.00,2012-02-16 00:00:00.000
76,172,2012-02-23 00:00:00.000,550,928,32.2455,468.00,0.00,2012-02-16 00:00:00.000
76,173,2012-02-23 00:00:00.000,550,929,36.561,550.00,0.00,2012-02-16 00:00:00.000
77,174,2012-02-23 00:00:00.000,550,319,46.4205,550.00,0.00,2012-02-16 00:00:00.000
78,175,2012-02-23 00:00:00.000,3,359,47.523,3.00,0.00,2012-02-16 00:00:00.000
78,176,2012-02-23 00:00:00.000,3,360,45.423,3.00,0.00,2012-02-16 00:00:00.000
78,177,2012-02-23 00:00:00.000,3,361,49.6965,3.00,0.00,2012-02-16 00:00:00.000
78,178,2012-02-23 00:00:00.000,3,362,45.423,3.00,0.00,2012-02-16 00:00:00.000
78,179,2012-02-23 00:00:00.000,3,363,43.323,3.00,0.00,2012-02-16 00:00:00.000
79,180,2012-02-23 00:00:00.000,3,2,41.916,3.00,0.00,2012-02-16 00:00:00.000
80,181,2012-02-23 00:00:00.000,3,1,50.2635,3.00,0.00,2012-02-16 00:00:00.000
81,182,2012-02-23 00:00:00.000,3,361,49.854,3.00,0.00,2012-02-16 00:00:00.000
81,183,2012-02-23 00:00:00.000,3,362,45.5805,3.00,0.00,2012-02-16 00:00:00.000
81,184,2012-02-23 00:00:00.000,3,363,43.4805,3.00,0.00,2012-02-16 00:00:00.000
81,185,2012-02-23 00:00:00.000,3,364,47.754,3.00,0.00,2012-02-16 00:00:00.000
82,186,2012-02-23 00:00:00.000,550,530,16.086,550.00,82.00,2012-02-16 00:00:00.000
83,187,2012-02-23 00:00:00.000,3,4,57.0255,3.00,0.00,2012-02-16 00:00:00.000
84,188,2012-02-23 00:00:00.000,550,512,37.086,550.00,550.00,2012-02-16 00:00:00.000
85,189,2012-02-23 00:00:00.000,550,513,26.5965,550.00,0.00,2012-02-16 00:00:00.000
86,190,2012-02-23 00:00:00.000,550,317,27.0585,468.00,0.00,2012-02-16 00:00:00.000
86,191,2012-02-23 00:00:00.000,550,318,33.579,550.00,0.00,2012-02-16 00:00:00.000
86,192,2012-02-23 00:00:00.000,550,319,46.0635,550.00,0.00,2012-02-16 00:00:00.000
87,193,2012-02-23 00:00:00.000,3,408,47.544,3.00,0.00,2012-02-16 00:00:00.000
87,194,2012-02-23 00:00:00.000,3,409,43.2705,3.00,0.00,2012-02-16 00:00:00.000
87,195,2012-02-23 00:00:00.000,3,410,41.1705,3.00,0.00,2012-02-16 00:00:00.000
87,196,2012-02-23 00:00:00.000,3,411,45.444,3.00,0.00,2012-02-16 00:00:00.000
87,197,2012-02-23 00:00:00.000,3,412,41.1705,3.00,0.00,2012-02-16 00:00:00.000
87,198,2012-02-23 00:00:00.000,3,413,39.0705,3.00,0.00,2012-02-16 00:00:00.000
88,199,2012-02-23 00:00:00.000,3,427,47.5965,3.00,0.00,2012-02-16 00:00:00.000
88,200,2012-02-23 00:00:00.000,3,428,43.323,3.00,0.00,2012-02-16 00:00:00.000
88,201,2012-02-23 00:00:00.000,3,429,41.223,3.00,0.00,2012-02-16 00:00:00.000
88,202,2012-02-23 00:00:00.000,3,430,45.4965,3.00,0.00,2012-02-16 00:00:00.000
88,203,2012-02-23 00:00:00.000,3,431,41.223,3.00,0.00,2012-02-16 00:00:00.000
89,204,2012-03-08 00:00:00.000,3,320,47.4705,3.00,0.00,2012-03-01 00:00:00.000
89,205,2012-03-08 00:00:00.000,3,321,42.798,3.00,0.00,2012-03-01 00:00:00.000
89,206,2012-03-08 00:00:00.000,60,322,25.4205,60.00,0.00,2012-03-01 00:00:00.000
90,207,2012-03-08 00:00:00.000,3,442,43.3965,3.00,0.00,2012-03-01 00:00:00.000
90,208,2012-03-08 00:00:00.000,3,443,39.123,3.00,0.00,2012-03-01 00:00:00.000
90,209,2012-03-08 00:00:00.000,3,444,37.023,3.00,0.00,2012-03-01 00:00:00.000
91,210,2012-03-08 00:00:00.000,550,941,62.9895,550.00,0.00,2012-03-01 00:00:00.000
92,211,2012-03-08 00:00:00.000,3,320,45.3705,3.00,0.00,2012-03-01 00:00:00.000
92,212,2012-03-08 00:00:00.000,3,321,40.488,3.00,0.00,2012-03-01 00:00:00.000
93,213,2012-03-12 00:00:00.000,3,504,48.762,3.00,0.00,2012-03-05 00:00:00.000
94,214,2012-03-12 00:00:00.000,3,497,34.188,3.00,3.00,2012-03-05 00:00:00.000
95,215,2012-03-12 00:00:00.000,3,323,50.2635,3.00,0.00,2012-03-05 00:00:00.000
96,216,2012-03-12 00:00:00.000,550,523,10.731,468.00,0.00,2012-03-05 00:00:00.000
96,217,2012-03-12 00:00:00.000,550,524,14.1225,550.00,0.00,2012-03-05 00:00:00.000
97,218,2012-03-22 00:00:00.000,60,492,50.2635,60.00,0.00,2012-03-15 00:00:00.000
97,219,2012-03-22 00:00:00.000,60,493,57.1515,60.00,0.00,2012-03-15 00:00:00.000
97,220,2012-03-22 00:00:00.000,60,494,53.2035,60.00,0.00,2012-03-15 00:00:00.000
97,221,2012-03-22 00:00:00.000,60,495,63.693,60.00,0.00,2012-03-15 00:00:00.000
97,222,2012-03-22 00:00:00.000,60,496,48.909,60.00,0.00,2012-03-15 00:00:00.000
98,223,2012-03-22 00:00:00.000,550,913,40.9395,550.00,0.00,2012-03-15 00:00:00.000
98,224,2012-03-22 00:00:00.000,550,914,21.0945,550.00,0.00,2012-03-15 00:00:00.000
98,225,2012-03-22 00:00:00.000,550,915,30.4395,550.00,0.00,2012-03-15 00:00:00.000
98,226,2012-03-22 00:00:00.000,550,916,40.9395,550.00,0.00,2012-03-15 00:00:00.000
99,227,2012-03-22 00:00:00.000,60,506,9.198,60.00,0.00,2012-03-15 00:00:00.000
100,228,2012-03-22 00:00:00.000,550,351,5.775,550.00,0.00,2012-03-15 00:00:00.000
100,229,2012-03-22 00:00:00.000,550,352,1.155,550.00,55.00,2012-03-15 00:00:00.000
100,230,2012-03-22 00:00:00.000,550,679,5.775,550.00,0.00,2012-03-15 00:00:00.000
101,231,2012-03-22 00:00:00.000,550,507,23.394,550.00,0.00,2012-03-15 00:00:00.000
101,232,2012-03-22 00:00:00.000,550,508,27.6465,550.00,0.00,2012-03-15 00:00:00.000
102,233,2012-03-22 00:00:00.000,550,355,1.365,550.00,82.00,2012-03-15 00:00:00.000
102,234,2012-03-22 00:00:00.000,550,940,62.9895,550.00,0.00,2012-03-15 00:00:00.000
103,235,2012-03-22 00:00:00.000,550,679,6.195,550.00,0.00,2012-03-15 00:00:00.000
104,236,2012-03-22 00:00:00.000,550,507,22.1655,550.00,550.00,2012-03-15 00:00:00.000
104,237,2012-03-22 00:00:00.000,550,508,29.2845,550.00,550.00,2012-03-15 00:00:00.000
105,238,2012-03-22 00:00:00.000,3,491,19.9815,3.00,0.00,2012-03-15 00:00:00.000
106,239,2012-03-22 00:00:00.000,3,347,36.9705,3.00,0.00,2012-03-15 00:00:00.000
106,240,2012-03-22 00:00:00.000,3,348,34.8705,3.00,0.00,2012-03-15 00:00:00.000
106,241,2012-03-22 00:00:00.000,3,349,39.144,3.00,0.00,2012-03-15 00:00:00.000
107,242,2012-03-22 00:00:00.000,550,935,31.4895,550.00,0.00,2012-03-15 00:00:00.000
107,243,2012-03-22 00:00:00.000,550,936,48.2895,550.00,0.00,2012-03-15 00:00:00.000
108,244,2012-03-22 00:00:00.000,3,380,43.218,3.00,0.00,2012-03-15 00:00:00.000
108,245,2012-03-22 00:00:00.000,3,381,47.4915,3.00,0.00,2012-03-15 00:00:00.000
108,246,2012-03-22 00:00:00.000,3,382,43.2705,3.00,0.00,2012-03-15 00:00:00.000
108,247,2012-03-22 00:00:00.000,3,383,47.544,3.00,0.00,2012-03-15 00:00:00.000
108,248,2012-03-22 00:00:00.000,3,384,43.2705,3.00,0.00,2012-03-15 00:00:00.000
109,249,2012-03-22 00:00:00.000,550,479,15.8865,550.00,0.00,2012-03-15 00:00:00.000
109,250,2012-03-22 00:00:00.000,550,480,11.6655,550.00,0.00,2012-03-15 00:00:00.000
109,251,2012-03-22 00:00:00.000,550,481,11.088,550.00,0.00,2012-03-15 00:00:00.000
109,252,2012-03-22 00:00:00.000,550,482,8.757,550.00,0.00,2012-03-15 00:00:00.000
109,253,2012-03-22 00:00:00.000,550,483,9.6915,550.00,0.00,2012-03-15 00:00:00.000
110,254,2012-03-22 00:00:00.000,3,402,47.4705,3.00,0.00,2012-03-15 00:00:00.000
111,255,2012-03-22 00:00:00.000,550,512,34.9755,550.00,0.00,2012-03-15 00:00:00.000
112,256,2012-03-22 00:00:00.000,3,406,43.2705,3.00,0.00,2012-03-15 00:00:00.000
112,257,2012-03-22 00:00:00.000,3,407,47.544,3.00,0.00,2012-03-15 00:00:00.000
113,258,2012-03-23 00:00:00.000,550,525,2.3205,550.00,0.00,2012-03-16 00:00:00.000
114,259,2012-03-23 00:00:00.000,550,526,3.6435,550.00,550.00,2012-03-16 00:00:00.000
115,260,2012-03-23 00:00:00.000,550,908,21.0945,550.00,0.00,2012-03-16 00:00:00.000
115,261,2012-03-23 00:00:00.000,550,909,30.4395,523.00,0.00,2012-03-16 00:00:00.000
115,262,2012-03-23 00:00:00.000,550,913,40.9395,550.00,0.00,2012-03-16 00:00:00.000
116,263,2012-03-23 00:00:00.000,60,356,3.6015,51.00,0.00,2012-03-16 00:00:00.000
116,264,2012-03-23 00:00:00.000,60,357,3.9795,60.00,0.00,2012-03-16 00:00:00.000
117,265,2012-03-23 00:00:00.000,550,935,31.4895,550.00,0.00,2012-03-16 00:00:00.000
117,266,2012-03-23 00:00:00.000,550,936,48.2895,550.00,0.00,2012-03-16 00:00:00.000
118,267,2012-03-23 00:00:00.000,550,524,12.9675,550.00,0.00,2012-03-16 00:00:00.000
119,268,2012-03-23 00:00:00.000,550,911,21.0945,550.00,0.00,2012-03-16 00:00:00.000
119,269,2012-03-23 00:00:00.000,550,912,30.4395,550.00,0.00,2012-03-16 00:00:00.000
120,270,2012-03-23 00:00:00.000,550,910,40.9395,550.00,0.00,2012-03-16 00:00:00.000
121,271,2012-03-23 00:00:00.000,550,937,62.9895,550.00,0.00,2012-03-16 00:00:00.000
122,272,2012-03-23 00:00:00.000,3,466,45.423,3.00,0.00,2012-03-16 00:00:00.000
122,273,2012-03-23 00:00:00.000,3,467,43.323,3.00,0.00,2012-03-16 00:00:00.000
123,274,2012-03-23 00:00:00.000,3,462,47.6805,3.00,0.00,2012-03-16 00:00:00.000
