"purchaseorderid","revisionnumber","status","employeeid","vendorid","shipmethodid","orderdate","shipdate","subtotal","taxamt","freight","modifieddate"
30,4,4,260,1568,2,2012-01-08 00:00:00.000,2012-01-17 00:00:00.000,21252,1700.16,531.3,2012-01-17 00:00:00.000
31,4,4,258,1648,5,2012-01-08 00:00:00.000,2012-01-17 00:00:00.000,142.4115,11.3929,3.5603,2012-01-17 00:00:00.000
32,6,4,254,1646,2,2012-01-08 00:00:00.000,2012-01-17 00:00:00.000,28794.15,2303.532,719.8538,2012-01-17 00:00:00.000
33,4,4,257,1672,4,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,421.155,33.6924,10.5289,2012-01-25 00:00:00.000
34,4,3,261,1600,1,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,1276.275,102.102,31.9069,2012-01-25 00:00:00.000
35,4,4,251,1522,1,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,2003.925,160.314,50.0981,2012-01-25 00:00:00.000
36,4,4,253,1570,2,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,50860.425,4068.834,1271.5106,2012-01-25 00:00:00.000
37,4,4,255,1516,1,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,454.86,36.3888,11.3715,2012-01-25 00:00:00.000
38,6,4,256,1506,5,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,43878.45,3510.276,1096.9613,2012-01-25 00:00:00.000
39,4,4,252,1626,2,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,7132.125,570.57,178.3031,2012-01-25 00:00:00.000
40,4,4,260,1542,2,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,28343.7,2267.496,708.5925,2012-01-25 00:00:00.000
41,4,4,258,1610,4,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,22516.725,1801.338,562.9181,2012-01-25 00:00:00.000
42,5,4,254,1638,5,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,34644.225,2771.538,866.1056,2012-01-25 00:00:00.000
43,4,4,257,1582,5,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,427.9275,34.2342,10.6982,2012-01-25 00:00:00.000
44,4,3,261,1510,5,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,143.0415,11.4433,3.576,2012-01-25 00:00:00.000
45,4,4,250,1526,2,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,28199.325,2255.946,704.9831,2012-01-25 00:00:00.000
46,4,4,253,1644,1,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,3713.325,297.066,92.8331,2012-01-25 00:00:00.000
47,4,4,255,1680,5,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,63831.075,5106.486,1595.7769,2012-01-25 00:00:00.000
48,4,4,256,1584,5,2012-01-16 00:00:00.000,2012-01-25 00:00:00.000,16340.31,1307.2248,408.5078,2012-01-25 00:00:00.000
49,4,4,259,1620,5,2012-01-20 00:00:00.000,2012-01-29 00:00:00.000,5711.475,456.918,142.7869,2012-01-29 00:00:00.000
50,5,4,260,1666,5,2012-01-20 00:00:00.000,2012-01-29 00:00:00.000,429.345,34.3476,10.7336,2012-01-29 00:00:00.000
51,4,4,258,1592,2,2012-01-20 00:00:00.000,2012-01-29 00:00:00.000,97.965,7.8372,2.4491,2012-01-29 00:00:00.000
52,4,4,254,1618,4,2012-01-20 00:00:00.000,2012-01-29 00:00:00.000,114.471,9.1577,2.8618,2012-01-29 00:00:00.000
53,4,4,252,1612,4,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,132.6465,10.6117,3.3162,2012-02-02 00:00:00.000
54,6,3,261,1586,5,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,43878.45,3510.276,1096.9613,2012-02-02 00:00:00.000
55,4,4,251,1500,1,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,418.95,33.516,10.4738,2012-02-02 00:00:00.000
56,4,4,253,1656,4,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,525.7665,42.0613,13.1442,2012-02-02 00:00:00.000
57,4,4,255,1572,1,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,461.79,36.9432,11.5448,2012-02-02 00:00:00.000
58,4,4,256,1562,4,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,630.378,50.4302,15.7595,2012-02-02 00:00:00.000
59,9,4,259,1662,2,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,37.0755,2.966,0.9269,2012-02-02 00:00:00.000
60,4,4,260,1682,4,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,21558.075,1724.646,538.9519,2012-02-02 00:00:00.000
61,4,4,258,1686,4,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,507.087,40.567,12.6772,2012-02-02 00:00:00.000
62,4,4,254,1684,5,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,41048.7,3283.896,1026.2175,2012-02-02 00:00:00.000
63,4,4,257,1534,5,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,429.345,34.3476,10.7336,2012-02-02 00:00:00.000
64,5,3,261,1614,5,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,279.153,22.3322,6.9788,2012-02-02 00:00:00.000
65,4,4,251,1588,5,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,40471.2,3237.696,1011.78,2012-02-02 00:00:00.000
66,5,4,253,1622,5,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,563.5665,45.0853,14.0892,2012-02-02 00:00:00.000
67,4,4,255,1632,5,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,62092.8,4967.424,1552.32,2012-02-02 00:00:00.000
68,5,4,256,1608,5,2012-01-24 00:00:00.000,2012-02-02 00:00:00.000,5948.25,475.86,148.7063,2012-02-02 00:00:00.000
69,4,4,259,1576,5,2012-01-25 00:00:00.000,2012-02-03 00:00:00.000,91117.95,7289.436,2277.9488,2012-02-03 00:00:00.000
70,5,4,260,1590,1,2012-01-25 00:00:00.000,2012-02-03 00:00:00.000,525,42,13.125,2012-02-03 00:00:00.000
71,4,4,258,1514,5,2012-01-25 00:00:00.000,2012-02-03 00:00:00.000,2003.6835,160.2947,50.0921,2012-02-03 00:00:00.000
72,4,4,254,1498,4,2012-01-25 00:00:00.000,2012-02-03 00:00:00.000,26455.275,2116.422,661.3819,2012-02-03 00:00:00.000
73,4,4,257,1674,2,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,944.37,75.5496,23.6093,2012-02-18 00:00:00.000
74,6,3,261,1652,4,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,44594.55,3567.564,1114.8638,2012-02-18 00:00:00.000
75,4,4,251,1578,3,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,62843.55,5027.484,1571.0888,2012-02-18 00:00:00.000
76,4,4,253,1538,5,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,37843.575,3027.486,946.0894,2012-02-18 00:00:00.000
77,4,4,252,1556,4,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,25531.275,2042.502,638.2819,2012-02-18 00:00:00.000
78,4,4,256,1554,5,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,694.1655,55.5332,17.3541,2012-02-18 00:00:00.000
79,4,4,259,1688,4,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,125.748,10.0598,3.1437,2012-02-18 00:00:00.000
80,4,4,260,1580,5,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,150.7905,12.0632,3.7698,2012-02-18 00:00:00.000
81,4,4,258,1496,5,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,560.007,44.8006,14.0002,2012-02-18 00:00:00.000
82,5,4,254,1494,2,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,8847.3,707.784,221.1825,2012-02-18 00:00:00.000
83,4,4,257,1650,5,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,171.0765,13.6861,4.2769,2012-02-18 00:00:00.000
84,4,3,261,1654,4,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,20397.3,1631.784,509.9325,2012-02-18 00:00:00.000
85,4,4,251,1664,3,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,14628.075,1170.246,365.7019,2012-02-18 00:00:00.000
86,5,4,253,1678,3,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,58685.55,4694.844,1467.1388,2012-02-18 00:00:00.000
87,4,4,255,1616,5,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,773.01,61.8408,19.3253,2012-02-18 00:00:00.000
88,5,4,252,1492,5,2012-02-09 00:00:00.000,2012-02-18 00:00:00.000,656.586,52.5269,16.4147,2012-02-18 00:00:00.000
89,4,4,259,1602,5,2012-02-23 00:00:00.000,2012-03-03 00:00:00.000,1796.0355,143.6828,44.9009,2012-03-03 00:00:00.000
90,4,4,260,1540,4,2012-02-23 00:00:00.000,2012-03-03 00:00:00.000,358.6275,28.6902,8.9657,2012-03-03 00:00:00.000
91,4,4,258,1628,5,2012-02-23 00:00:00.000,2012-03-03 00:00:00.000,34644.225,2771.538,866.1056,2012-03-03 00:00:00.000
92,4,4,250,1604,4,2012-02-23 00:00:00.000,2012-03-03 00:00:00.000,257.5755,20.606,6.4394,2012-03-03 00:00:00.000
93,4,4,257,1690,5,2012-02-27 00:00:00.000,2012-03-07 00:00:00.000,146.286,11.7029,3.6572,2012-03-07 00:00:00.000
94,4,3,261,1566,5,2012-02-27 00:00:00.000,2012-03-07 00:00:00.000,102.564,8.2051,2.5641,2012-03-07 00:00:00.000
95,4,4,251,1698,5,2012-02-27 00:00:00.000,2012-03-07 00:00:00.000,150.7905,12.0632,3.7698,2012-03-07 00:00:00.000
96,4,4,253,1560,5,2012-02-27 00:00:00.000,2012-03-07 00:00:00.000,13669.425,1093.554,341.7356,2012-03-07 00:00:00.000
97,6,4,255,1692,5,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,16393.23,1311.4584,409.8308,2012-03-17 00:00:00.000
98,4,4,256,1696,4,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,73377.15,5870.172,1834.4288,2012-03-17 00:00:00.000
99,4,4,259,1504,1,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,551.88,44.1504,13.797,2012-03-17 00:00:00.000
100,4,4,260,1544,1,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,6987.75,559.02,174.6938,2012-03-17 00:00:00.000
101,5,4,258,1530,2,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,28072.275,2245.782,701.8069,2012-03-17 00:00:00.000
102,4,4,254,1508,1,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,35394.975,2831.598,884.8744,2012-03-17 00:00:00.000
103,4,4,257,1694,1,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,3407.25,272.58,85.1813,2012-03-17 00:00:00.000
104,4,3,261,1624,2,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,28297.5,2263.8,707.4375,2012-03-17 00:00:00.000
105,4,4,251,1548,2,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,59.9445,4.7956,1.4986,2012-03-17 00:00:00.000
106,4,4,253,1598,4,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,332.955,26.6364,8.3239,2012-03-17 00:00:00.000
107,4,4,255,1658,5,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,43878.45,3510.276,1096.9613,2012-03-17 00:00:00.000
108,4,4,256,1536,4,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,674.3835,53.9507,16.8596,2012-03-17 00:00:00.000
109,4,4,259,1568,2,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,31398.675,2511.894,784.9669,2012-03-17 00:00:00.000
110,4,4,250,1648,5,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,142.4115,11.3929,3.5603,2012-03-17 00:00:00.000
111,4,4,258,1646,5,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,19236.525,1538.922,480.9131,2012-03-17 00:00:00.000
112,4,4,254,1672,4,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,272.4435,21.7955,6.8111,2012-03-17 00:00:00.000
113,5,4,257,1600,1,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,1276.275,102.102,31.9069,2012-03-18 00:00:00.000
114,4,3,261,1522,1,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,2003.925,160.314,50.0981,2012-03-18 00:00:00.000
115,4,4,251,1570,2,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,50860.425,4068.834,1271.5106,2012-03-18 00:00:00.000
116,4,4,253,1516,1,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,454.86,36.3888,11.3715,2012-03-18 00:00:00.000
117,4,4,255,1506,5,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,43878.45,3510.276,1096.9613,2012-03-18 00:00:00.000
118,5,4,256,1626,2,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,7132.125,570.57,178.3031,2012-03-18 00:00:00.000
119,4,4,259,1542,2,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,28343.7,2267.496,708.5925,2012-03-18 00:00:00.000
120,4,4,260,1610,4,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,22516.725,1801.338,562.9181,2012-03-18 00:00:00.000
121,4,4,250,1638,5,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,34644.225,2771.538,866.1056,2012-03-18 00:00:00.000
122,4,4,254,1582,4,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,266.238,21.299,6.656,2012-03-18 00:00:00.000
123,5,4,257,1510,5,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,143.0415,11.4433,3.576,2012-03-18 00:00:00.000
124,4,3,261,1526,2,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,28199.325,2255.946,704.9831,2012-03-18 00:00:00.000
125,4,4,251,1644,1,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,3713.325,297.066,92.8331,2012-03-18 00:00:00.000
126,4,4,253,1680,5,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,63831.075,5106.486,1595.7769,2012-03-18 00:00:00.000
127,4,4,255,1584,5,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,16340.31,1307.2248,408.5078,2012-03-18 00:00:00.000
128,4,4,256,1620,5,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,5711.475,456.918,142.7869,2012-03-18 00:00:00.000
129,4,4,259,1666,4,2012-03-14 00:00:00.000,2012-03-23 00:00:00.000,665.028,53.2022,16.6257,2012-03-23 00:00:00.000
130,4,4,260,1592,2,2012-03-14 00:00:00.000,2012-03-23 00:00:00.000,97.965,7.8372,2.4491,2012-03-23 00:00:00.000
131,4,4,258,1618,4,2012-03-14 00:00:00.000,2012-03-23 00:00:00.000,114.471,9.1577,2.8618,2012-03-23 00:00:00.000
132,6,4,254,1612,4,2012-03-14 00:00:00.000,2012-03-23 00:00:00.000,132.6465,10.6117,3.3162,2012-03-23 00:00:00.000
133,4,4,257,1586,5,2012-03-28 00:00:00.000,2012-04-06 00:00:00.000,43878.45,3510.276,1096.9613,2012-04-06 00:00:00.000
134,4,3,261,1500,1,2012-03-28 00:00:00.000,2012-04-06 00:00:00.000,418.95,33.516,10.4738,2012-04-06 00:00:00.000
135,4,4,251,1656,4,2012-03-28 00:00:00.000,2012-04-06 00:00:00.000,3413.2455,273.0596,85.3311,2012-04-06 00:00:00.000
136,4,4,253,1572,1,2012-03-28 00:00:00.000,2012-04-06 00:00:00.000,461.79,36.9432,11.5448,2012-04-06 00:00:00.000
137,6,4,255,1562,4,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,722.4525,57.7962,18.0613,2012-04-20 00:00:00.000
138,4,4,256,1662,2,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,37.0755,2.966,0.9269,2012-04-20 00:00:00.000
139,5,4,252,1682,4,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,21558.075,1724.646,538.9519,2012-04-20 00:00:00.000
140,4,4,260,1686,4,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,351.855,28.1484,8.7964,2012-04-20 00:00:00.000
141,4,4,258,1684,4,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,45172.05,3613.764,1129.3013,2012-04-20 00:00:00.000
142,6,4,254,1534,4,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,267.183,21.3746,6.6796,2012-04-20 00:00:00.000
143,4,4,257,1614,5,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,415.8,33.264,10.395,2012-04-20 00:00:00.000
144,5,3,261,1588,5,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,40471.2,3237.696,1011.78,2012-04-20 00:00:00.000
145,4,4,250,1622,4,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,662.0985,52.9679,16.5525,2012-04-20 00:00:00.000
146,4,4,253,1632,5,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,62092.8,4967.424,1552.32,2012-04-20 00:00:00.000
147,4,4,255,1608,5,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,5948.25,475.86,148.7063,2012-04-20 00:00:00.000
148,4,4,256,1576,5,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,91117.95,7289.436,2277.9488,2012-04-20 00:00:00.000
149,4,4,259,1590,1,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,525,42,13.125,2012-04-20 00:00:00.000
150,4,4,260,1514,5,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,2003.6835,160.2947,50.0921,2012-04-20 00:00:00.000
151,5,4,258,1498,4,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,26455.275,2116.422,661.3819,2012-04-20 00:00:00.000
152,4,4,254,1674,2,2012-04-11 00:00:00.000,2012-04-20 00:00:00.000,944.37,75.5496,23.6093,2012-04-20 00:00:00.000
153,4,4,252,1652,1,2012-05-02 00:00:00.000,2012-05-11 00:00:00.000,6993.525,559.482,174.8381,2012-05-11 00:00:00.000
154,4,3,261,1578,3,2012-05-02 00:00:00.000,2012-05-11 00:00:00.000,36122.625,2889.81,903.0656,2012-05-11 00:00:00.000
155,4,4,251,1538,5,2012-05-02 00:00:00.000,2012-05-11 00:00:00.000,37843.575,3027.486,946.0894,2012-05-11 00:00:00.000
156,5,4,253,1556,4,2012-05-02 00:00:00.000,2012-05-11 00:00:00.000,25531.275,2042.502,638.2819,2012-05-11 00:00:00.000
157,4,4,255,1554,5,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,773.955,61.9164,19.3489,2012-06-08 00:00:00.000
158,4,4,256,1688,4,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,125.748,10.0598,3.1437,2012-06-08 00:00:00.000
159,4,4,259,1580,5,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,150.7905,12.0632,3.7698,2012-06-08 00:00:00.000
160,4,4,260,1496,4,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,391.545,31.3236,9.7886,2012-06-08 00:00:00.000
161,4,4,258,1494,2,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,8847.3,707.784,221.1825,2012-06-08 00:00:00.000
162,4,4,254,1650,5,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,171.0765,13.6861,4.2769,2012-06-08 00:00:00.000
163,4,4,257,1654,4,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,20397.3,1631.784,509.9325,2012-06-08 00:00:00.000
164,4,3,261,1664,3,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,14628.075,1170.246,365.7019,2012-06-08 00:00:00.000
165,4,4,251,1678,3,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,58685.55,4694.844,1467.1388,2012-06-08 00:00:00.000
166,4,4,253,1616,4,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,481.887,38.551,12.0472,2012-06-08 00:00:00.000
167,4,4,255,1492,4,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,710.955,56.8764,17.7739,2012-06-08 00:00:00.000
168,4,4,256,1602,5,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,1796.0355,143.6828,44.9009,2012-06-08 00:00:00.000
169,4,4,259,1540,4,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,664.3035,53.1443,16.6076,2012-06-08 00:00:00.000
170,4,4,260,1628,5,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,34644.225,2771.538,866.1056,2012-06-08 00:00:00.000
171,4,4,258,1604,3,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,1581.93,126.5544,39.5483,2012-06-08 00:00:00.000
172,4,4,254,1690,5,2012-05-30 00:00:00.000,2012-06-08 00:00:00.000,146.286,11.7029,3.6572,2012-06-08 00:00:00.000
173,4,4,257,1566,5,2012-06-11 00:00:00.000,2012-06-20 00:00:00.000,102.564,8.2051,2.5641,2012-06-20 00:00:00.000
174,4,3,261,1698,5,2012-06-11 00:00:00.000,2012-06-20 00:00:00.000,150.7905,12.0632,3.7698,2012-06-20 00:00:00.000
175,4,4,251,1560,5,2012-06-11 00:00:00.000,2012-06-20 00:00:00.000,13669.425,1093.554,341.7356,2012-06-20 00:00:00.000
176,4,4,253,1692,5,2012-06-11 00:00:00.000,2012-06-20 00:00:00.000,13458.69,1076.6952,336.4673,2012-06-20 00:00:00.000
177,4,4,252,1696,2,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,101720.85,8137.668,2543.0213,2012-07-01 00:00:00.000
178,4,4,256,1504,1,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,551.88,44.1504,13.797,2012-07-01 00:00:00.000
179,4,4,259,1544,1,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,6987.75,559.02,174.6938,2012-07-01 00:00:00.000
180,4,4,260,1530,2,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,28072.275,2245.782,701.8069,2012-07-01 00:00:00.000
181,4,4,258,1508,1,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,1917.3,153.384,47.9325,2012-07-01 00:00:00.000
182,4,4,254,1694,1,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,4215.75,337.26,105.3938,2012-07-01 00:00:00.000
183,4,4,257,1624,2,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,28297.5,2263.8,707.4375,2012-07-01 00:00:00.000
184,4,3,261,1548,2,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,59.9445,4.7956,1.4986,2012-07-01 00:00:00.000
185,4,4,251,1598,4,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,1055.565,84.4452,26.3891,2012-07-01 00:00:00.000
186,4,4,253,1658,5,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,43878.45,3510.276,1096.9613,2012-07-01 00:00:00.000
187,4,4,255,1536,4,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,747.81,59.8248,18.6953,2012-07-01 00:00:00.000
188,4,4,252,1568,1,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,20957.475,1676.598,523.9369,2012-07-01 00:00:00.000
189,4,4,259,1648,5,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,142.4115,11.3929,3.5603,2012-07-01 00:00:00.000
190,4,4,260,1646,2,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,48030.675,3842.454,1200.7669,2012-07-01 00:00:00.000
